Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02968549747048904,0,0,0,0,0.0546722891566265,0.02833718689788054,0,0.014446498194945846,0.40385761316872426
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09432900505902192,0.009979801980198022,0,0,0,0.18589698795180723,0.003949903660886321,0,0.005409169675090253,0.5187986625514404
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20061315345699832,0.09703227722772276,0,0,0,0.3304879518072289,7.22543352601156e-5,0,3.965342960288808e-4,0.594708024691358
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31125649241146713,0.2410748514851485,0,0,0.03694156626506024,0.4235879518072289,0,0,0,0.6290224279835391
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.704203013481364e-4,0.41128111298482295,0.4047516831683169,0,0.001345320197044335,0.2100710843373494,0.4750168674698794,0,0.004756223175965665,0,0.6186715020576132
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008670182394924663,0.48234569983136594,0.5265491089108911,0,0.0930847290640394,0.4051861445783132,0.4818596385542168,0,0.0735390557939914,0,0.5615898148148147
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04753790642347344,0.507049915682968,0.5761623762376238,0,0.210084236453202,0.5519277108433734,0.42102228915662654,0,0.2359283261802575,0,0.46702109053497937
55,0,0,0,0,0,0,0,0,0,0,1.36e-5,1.7e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44e-6,1.36e-5,0.13485908009516256,0.483537436762226,0.5622651485148514,9.414373088685016e-4,0.3326581280788177,0.6487066265060242,0.3264030120481928,0,0.4287283261802575,0,0.3378162551440329
56,0,0,0.044523,0,0,0,0,0,0,0,0.0333132,0.009741,0.00221,0,0.00230605,0,0,0,2.125e-5,0,0.02137495,0,1.53e-5,7.0295e-4,0,0,0,0,0.03122424,0.0333132,0.25317383029341795,0.4314779089376054,0.481159801980198,0.005225076452599389,0.4200512315270936,0.6874114457831326,0.204139156626506,0,0.5768695278969956,0,0.2055442386831276
57,0.0763691,0,0.1384055,0.0411859,0.02248335,0.0016949,0,0.004998,0,0.0068476,0.1262573,0.069200413,0.06484395,0,0.0662507,0,0,0,0.0108086,0,0.1075148,0,0.04815675,0.05032,0,2.261e-4,0.00547995,0.00285685,0.117557862,0.1262573,0.38030959555908017,0.33458903878583474,0.33605504950495046,0.023396483180428133,0.4667630541871921,0.669727108433735,0.0730078313253012,0,0.6631424892703863,0,0.10189351851851852
58,0.2239631,0.01129735,0.2589474,0.1731348,0.07075825,0.01129735,0.0073287,0.12662875,0.00615995,0.0573682,0.23596255,0.181567756,0.1511844,0,0.17880175,0.00196605,0.0203847,5.95e-5,0.03528435,0.09029975,0.21943345,5.3125e-4,0.15960535,0.1364777,5.916e-4,0.01585675,0.03018095,0.019737,0.230000792,0.23596255,0.49797049960348927,0.2195099494097808,0.1679128712871287,0.059918042813455655,0.45350788177339896,0.6121584337349398,0.005919277108433735,0.0012116570327552988,0.6982412017167382,0,0.03760154320987654
