Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
2031,0,0.284,0.646,0,0,0.882588342,0.546200571,0.821,0.912,0.337829079,0.991,0.836,0,0.855948241,0.597,0,0.896699606,0.788,0.186,0.355,0.034,0.554943101,0.443985293,0,0.837779837,0.15693735,0.190448161,0.190448161,0.029,0.348,0.3423769230769231,0.25689682539682546,0.2104363636363636,0.2030037037037037,0.045750000000000006,0.04705,0.4162125,0.5129809523809523,0.22341428571428576,0.542018918918919,0.36358571428571423
2032,0,0.287,0.806,0,0,0.852115537,0.514769291,0.814,0.936,0.312693742,0.986,0.784,0,0.844332903,0.594,0,0.862350765,0.685,0.202,0.329,0.082,0.533584068,0.432996089,0,0.817777875,0.15547691,0.207126063,0.207126063,0.051,0.399,0.3647461538461538,0.2604857142857143,0.2107015151515152,0.23118148148148143,0.04833333333333334,0.0524125,0.41985,0.5186857142857144,0.21186666666666665,0.546345945945946,0.4143285714285714
2033,0,0.288,0.767,0,0,0.820992665,0.48474539,0.797,0.957,0.290859855,0.979,0.759,0,0.834699384,0.557,0,0.828411675,0.542,0.249,0.322,0.136,0.514127873,0.424549517,0,0.796434181,0.154388255,0.224662741,0.224662741,0.17,0.577,0.3762692307692308,0.2593476190476192,0.20500757575757567,0.2456407407407408,0.08556666666666668,0.05775,0.4163833333333333,0.4912809523809524,0.21036666666666667,0.5344486486486487,0.4619714285714286
2034,0,0.384,0.79,0,0,0.78797663,0.456299922,0.756,0.966,0.27272119,0.974,0.709,0,0.825478173,0.484,0,0.79524806,0.443,0.33,0.336,0.158,0.496929613,0.417936779,0,0.774315191,0.153670231,0.243035875,0.243035875,0.303,0.569,0.3727923076923077,0.25388412698412705,0.1910409090909091,0.2621259259259259,0.11841666666666668,0.0606375,0.4090291666666667,0.472152380952381,0.22699523809523808,0.5267972972972974,0.47114285714285714
2035,0,0.516,0.797,0,0,0.756348999,0.429578563,0.712,0.96,0.25858858,0.97,0.62,0,0.815635205,0.376,0,0.763037452,0.406,0.438,0.348,0.158,0.481987685,0.412716546,0,0.7521086,0.153322048,0.262219921,0.262219921,0.564,0.533,0.3569807692307692,0.2536063492063492,0.18021818181818183,0.2705518518518519,0.13975,0.05695,0.4004375,0.4681714285714286,0.2403047619047619,0.5222378378378377,0.4789857142857143
2036,0,0.549,0.777,0,0,0.725036318,0.404703309,0.644,0.932,0.245463628,0.948,0.523,0,0.796425649,0.276,0,0.732445299,0.383,0.529,0.321,0.156,0.469310849,0.398212825,0,0.730515343,0.153343307,0.282186365,0.282186365,0.565,0.695,0.3423346153846154,0.2514111111111111,0.17655454545454544,0.2786222222222222,0.14756666666666665,0.0465125,0.3903916666666667,0.4283428571428572,0.2441047619047619,0.5090351351351351,0.4858857142857143
2037,0,0.521,0.766,0,0,0.688450613,0.386789793,0.585,0.927,0.224509223,0.888,0.408,0,0.784248061,0.223,0,0.720146119,0.321,0.583,0.289,0.166,0.456564877,0.39212403,0,0.72419634,0.111670928,0.235168039,0.235168039,0.537,0.737,0.3319923076923077,0.24956349206349207,0.17920151515151517,0.3196481481481482,0.16718333333333335,0.0424625,0.36964166666666665,0.4461428571428571,0.2335,0.5010945945945945,0.4594857142857142
2038,0,0.464,0.734,0,0,0.653243209,0.372471597,0.53,0.913,0.209287202,0.731,0.317,0,0.771801193,0.201,0,0.709843767,0.324,0.606,0.264,0.208,0.445193148,0.391019544,0,0.717278393,0.076164836,0.194334273,0.194334273,0.463,0.593,0.31904615384615387,0.2409825396825397,0.17866666666666667,0.3771777777777778,0.1953166666666667,0.038000000000000006,0.3383875,0.48287619047619046,0.2209428571428572,0.5137891891891893,0.4569142857142857
2039,0,0.425,0.619,0,0,0.619807022,0.360507596,0.477,0.895,0.199478107,0.467,0.262,0,0.759629592,0.181,0,0.701636165,0.332,0.609,0.274,0.28,0.433839395,0.38466315,0,0.711451553,0.047521901,0.159901426,0.159901426,0.464,0.638,0.3015076923076923,0.18440000000000004,0.16740000000000002,0.44396666666666673,0.21228333333333332,0.036475,0.24179166666666663,0.4728380952380953,0.20371904761904763,0.4750702702702703,0.32391428571428577
2040,0,0.394,0.551,0,0,0.588481737,0.347721643,0.421,0.874,0.194698714,0.268,0.221,0,0.74780699,0.177,0,0.690510336,0.338,0.599,0.252,0.386,0.423712868,0.378728927,0,0.706178647,0.026428865,0.131880408,0.131880408,0.552,0.849,0.28589615384615386,0.18452222222222223,0.1775939393939394,0.4905185185185186,0.17956666666666665,0.0363375,0.24602916666666663,0.5292333333333333,0.19537142857142856,0.5003351351351352,0.34872857142857144
